t1,d1
0,9.354965e-01
1.000000e-02,9.354109e-01
2.000000e-02,9.351546e-01
3.000000e-02,9.347284e-01
4.000000e-02,9.341340e-01
5.000000e-02,9.333733e-01
6.000000e-02,9.324488e-01
7.000000e-02,9.313633e-01
8.000000e-02,9.301201e-01
9.000000e-02,9.287226e-01
1.000000e-01,9.271745e-01
1.100000e-01,9.254793e-01
1.200000e-01,9.236408e-01
1.300000e-01,9.216625e-01
1.400000e-01,9.195478e-01
1.500000e-01,9.172999e-01
1.600000e-01,9.149215e-01
1.700000e-01,9.124151e-01
1.800000e-01,9.097826e-01
1.900000e-01,9.070255e-01
2.000000e-01,9.041448e-01
2.100000e-01,9.011410e-01
2.200000e-01,8.980140e-01
2.300000e-01,8.947633e-01
2.400000e-01,8.913878e-01
2.500000e-01,8.878862e-01
2.600000e-01,8.842566e-01
2.700000e-01,8.804969e-01
2.800000e-01,8.766048e-01
2.900000e-01,8.725776e-01
3.000000e-01,8.684130e-01
3.100000e-01,8.641081e-01
3.200000e-01,8.596607e-01
3.300000e-01,8.550683e-01
3.400000e-01,8.503288e-01
3.500000e-01,8.454406e-01
3.600000e-01,8.404023e-01
3.700000e-01,8.352130e-01
3.800000e-01,8.298723e-01
3.900000e-01,8.243802e-01
4.000000e-01,8.187375e-01
4.100000e-01,8.129453e-01
4.200000e-01,8.070053e-01
4.300000e-01,8.009197e-01
4.400000e-01,7.946914e-01
4.500000e-01,7.883234e-01
4.600000e-01,7.818192e-01
4.700000e-01,7.751828e-01
4.800000e-01,7.684181e-01
4.900000e-01,7.615294e-01
5.000000e-01,7.545210e-01
5.100000e-01,7.473973e-01
5.200000e-01,7.401625e-01
5.300000e-01,7.328206e-01
5.400000e-01,7.253755e-01
5.500000e-01,7.178307e-01
5.600000e-01,7.101894e-01
5.700000e-01,7.024543e-01
5.800000e-01,6.946278e-01
5.900000e-01,6.867116e-01
6.000000e-01,6.787071e-01
6.100000e-01,6.706151e-01
6.200000e-01,6.624360e-01
6.300000e-01,6.541698e-01
6.400000e-01,6.458159e-01
6.500000e-01,6.373735e-01
6.600000e-01,6.288415e-01
6.700000e-01,6.202185e-01
6.800000e-01,6.115029e-01
6.900000e-01,6.026930e-01
7.000000e-01,5.937872e-01
7.100000e-01,5.847840e-01
7.200000e-01,5.756818e-01
7.300000e-01,5.664795e-01
7.400000e-01,5.571762e-01
7.500000e-01,5.477712e-01
7.600000e-01,5.382644e-01
7.700000e-01,5.286561e-01
7.800000e-01,5.189470e-01
7.900000e-01,5.091384e-01
8.000000e-01,4.992321e-01
8.100000e-01,4.892302e-01
8.200000e-01,4.791356e-01
8.300000e-01,4.689514e-01
8.400000e-01,4.586811e-01
8.500000e-01,4.483288e-01
8.600000e-01,4.378987e-01
8.700000e-01,4.273952e-01
8.800000e-01,4.168230e-01
8.900000e-01,4.061867e-01
9.000000e-01,3.954910e-01
9.100000e-01,3.847407e-01
9.200000e-01,3.739401e-01
9.300000e-01,3.630934e-01
9.400000e-01,3.522048e-01
9.500000e-01,3.412777e-01
9.600000e-01,3.303154e-01
9.700000e-01,3.193207e-01
9.800000e-01,3.082959e-01
9.900000e-01,2.972430e-01
1,2.861634e-01
1.010000e+00,2.750580e-01
1.020000e+00,2.639273e-01
1.030000e+00,2.527714e-01
1.040000e+00,2.415902e-01
1.050000e+00,2.303831e-01
1.060000e+00,2.191493e-01
1.070000e+00,2.078879e-01
1.080000e+00,1.965977e-01
1.090000e+00,1.852778e-01
1.100000e+00,1.739270e-01
1.110000e+00,1.625445e-01
1.120000e+00,1.511294e-01
1.130000e+00,1.396814e-01
1.140000e+00,1.282003e-01
1.150000e+00,1.166861e-01
1.160000e+00,1.051397e-01
1.170000e+00,9.356188e-02
1.180000e+00,8.195427e-02
1.190000e+00,7.031877e-02
1.200000e+00,5.865781e-02
1.210000e+00,4.697423e-02
1.220000e+00,3.527131e-02
1.230000e+00,2.355268e-02
1.240000e+00,1.182233e-02
1.250000e+00,8.449784e-05
1.260000e+00,-1.165635e-02
1.270000e+00,-2.337109e-02
1.280000e+00,-3.503064e-02
1.290000e+00,-4.663060e-02
1.300000e+00,-5.816678e-02
1.310000e+00,-6.963531e-02
1.320000e+00,-8.103264e-02
1.330000e+00,-9.235561e-02
1.340000e+00,-1.036015e-01
1.350000e+00,-1.147679e-01
1.360000e+00,-1.258532e-01
1.370000e+00,-1.368558e-01
1.380000e+00,-1.477748e-01
1.390000e+00,-1.586097e-01
1.400000e+00,-1.693603e-01
1.410000e+00,-1.800270e-01
1.420000e+00,-1.906102e-01
1.430000e+00,-2.011106e-01
1.440000e+00,-2.115292e-01
1.450000e+00,-2.218670e-01
1.460000e+00,-2.321251e-01
1.470000e+00,-2.423047e-01
1.480000e+00,-2.524065e-01
1.490000e+00,-2.624315e-01
1.500000e+00,-2.723801e-01
1.510000e+00,-2.822528e-01
1.520000e+00,-2.920494e-01
1.530000e+00,-3.017695e-01
1.540000e+00,-3.114124e-01
1.550000e+00,-3.209768e-01
1.560000e+00,-3.304612e-01
1.570000e+00,-3.398634e-01
1.580000e+00,-3.491811e-01
1.590000e+00,-3.584116e-01
1.600000e+00,-3.675515e-01
1.610000e+00,-3.765976e-01
1.620000e+00,-3.855462e-01
1.630000e+00,-3.943933e-01
1.640000e+00,-4.031352e-01
1.650000e+00,-4.117678e-01
1.660000e+00,-4.202871e-01
1.670000e+00,-4.286891e-01
1.680000e+00,-4.369703e-01
1.690000e+00,-4.451271e-01
1.700000e+00,-4.531561e-01
1.710000e+00,-4.610546e-01
1.720000e+00,-4.688199e-01
1.730000e+00,-4.764499e-01
1.740000e+00,-4.839429e-01
1.750000e+00,-4.912975e-01
1.760000e+00,-4.985129e-01
1.770000e+00,-5.055887e-01
1.780000e+00,-5.125249e-01
1.790000e+00,-5.193217e-01
1.800000e+00,-5.259800e-01
1.810000e+00,-5.325008e-01
1.820000e+00,-5.388852e-01
1.830000e+00,-5.451347e-01
1.840000e+00,-5.512508e-01
1.850000e+00,-5.572352e-01
1.860000e+00,-5.630895e-01
1.870000e+00,-5.688151e-01
1.880000e+00,-5.744135e-01
1.890000e+00,-5.798859e-01
1.900000e+00,-5.852331e-01
1.910000e+00,-5.904560e-01
1.920000e+00,-5.955547e-01
1.930000e+00,-6.005293e-01
1.940000e+00,-6.053793e-01
1.950000e+00,-6.101040e-01
1.960000e+00,-6.147021e-01
1.970000e+00,-6.191723e-01
1.980000e+00,-6.235125e-01
1.990000e+00,-6.277206e-01
2,-6.317941e-01
2.010000e+00,-6.357303e-01
2.020000e+00,-6.395265e-01
2.030000e+00,-6.431795e-01
2.040000e+00,-6.466865e-01
2.050000e+00,-6.500443e-01
2.060000e+00,-6.532502e-01
2.070000e+00,-6.563014e-01
2.080000e+00,-6.591952e-01
2.090000e+00,-6.619293e-01
2.100000e+00,-6.645018e-01
2.110000e+00,-6.669110e-01
2.120000e+00,-6.691556e-01
2.130000e+00,-6.712347e-01
2.140000e+00,-6.731479e-01
2.150000e+00,-6.748951e-01
2.160000e+00,-6.764766e-01
2.170000e+00,-6.778933e-01
2.180000e+00,-6.791461e-01
2.190000e+00,-6.802366e-01
2.200000e+00,-6.811666e-01
2.210000e+00,-6.819379e-01
2.220000e+00,-6.825528e-01
2.230000e+00,-6.830136e-01
2.240000e+00,-6.833226e-01
2.250000e+00,-6.834822e-01
2.260000e+00,-6.834947e-01
2.270000e+00,-6.833867e-01
2.280000e+00,-6.831848e-01
2.290000e+00,-6.828905e-01
2.300000e+00,-6.825048e-01
2.310000e+00,-6.820284e-01
2.320000e+00,-6.814615e-01
2.330000e+00,-6.808038e-01
2.340000e+00,-6.800547e-01
2.350000e+00,-6.792130e-01
2.360000e+00,-6.782771e-01
2.370000e+00,-6.772452e-01
2.380000e+00,-6.761151e-01
2.390000e+00,-6.748844e-01
2.400000e+00,-6.735506e-01
2.410000e+00,-6.721109e-01
2.420000e+00,-6.705628e-01
2.430000e+00,-6.689037e-01
2.440000e+00,-6.671310e-01
2.450000e+00,-6.652425e-01
2.460000e+00,-6.632362e-01
2.470000e+00,-6.611105e-01
2.480000e+00,-6.588641e-01
2.490000e+00,-6.564961e-01
2.500000e+00,-6.540062e-01
2.510000e+00,-6.513943e-01
2.520000e+00,-6.486611e-01
2.530000e+00,-6.458076e-01
2.540000e+00,-6.428352e-01
2.550000e+00,-6.397460e-01
2.560000e+00,-6.365422e-01
2.570000e+00,-6.332264e-01
2.580000e+00,-6.298017e-01
2.590000e+00,-6.262712e-01
2.600000e+00,-6.226383e-01
2.610000e+00,-6.189063e-01
2.620000e+00,-6.150788e-01
2.630000e+00,-6.111590e-01
2.640000e+00,-6.071504e-01
2.650000e+00,-6.030558e-01
2.660000e+00,-5.988782e-01
2.670000e+00,-5.946200e-01
2.680000e+00,-5.902833e-01
2.690000e+00,-5.858700e-01
2.700000e+00,-5.813813e-01
2.710000e+00,-5.768180e-01
2.720000e+00,-5.721808e-01
2.730000e+00,-5.674695e-01
2.740000e+00,-5.626838e-01
2.750000e+00,-5.578230e-01
2.760000e+00,-5.528860e-01
2.770000e+00,-5.478714e-01
2.780000e+00,-5.427777e-01
2.790000e+00,-5.376029e-01
2.800000e+00,-5.323454e-01
2.810000e+00,-5.270033e-01
2.820000e+00,-5.215746e-01
2.830000e+00,-5.160577e-01
2.840000e+00,-5.104510e-01
2.850000e+00,-5.047533e-01
2.860000e+00,-4.989635e-01
2.870000e+00,-4.930809e-01
2.880000e+00,-4.871054e-01
2.890000e+00,-4.810371e-01
2.900000e+00,-4.748766e-01
2.910000e+00,-4.686249e-01
2.920000e+00,-4.622836e-01
2.930000e+00,-4.558545e-01
2.940000e+00,-4.493399e-01
2.950000e+00,-4.427427e-01
2.960000e+00,-4.360657e-01
